annotator	sent_id	updated_at	group_mentioned	group_appealed	intersectional	multiple_groups	opposed_groups	pejorative	group_tags	reasoning	polarity	stance	text	left_context	right_context	further_context	year	date	n_disagreements
gold	commons_2025_80079:019	2026-06-20 23:12:36.630982+02:00	yes	yes	yes	no	no	no	['FAM_FAMILIES', 'MIG_REFUGEES']	REASONING_ECONOMIC	POLARITY_MIXED	STANCE_ENDORSE	Let me talk about our Government’s dispersal strategy, because dispersal accommodation is more cost-effective, and I hope that we can all agree on the central premise that dispersal accommodation is also more appropriate for asylum-seeking families and children.	That is who they are.	The hon Gentleman does know my constituency quite well—I would not say very well, if we are honest about the short time he spent there—and he makes an interesting point.	This is the second time that we have interacted on this issue and that he has eulogised the previous Labour Government, and I obviously welcome that once more. I also welcome his advocacy for free and safe routes, which I hope are now Reform policy—I look forward to that.	2025	2025-10-20	5
gold	commons_2025_80476:001	2026-06-20 23:12:36.634787+02:00	yes	yes	no	no	no	no	['REL_JEWISH']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	Let me be absolutely clear: there is no place on our university campuses, in our schools or anywhere in our society for antisemitism, and I send that message loud and clear.	---	That is the message that I have extended to university vice-chancellors, who should be in no doubt that we expect to see action on campus on this very serious issue.	That is why we are putting more funding into training and support, including in our universities where we expect to see action, because there can be no excuse for Jewish students feeling unsafe on campus. Freedom of speech does not mean people have a right to harass or intimidate Jewish students, and university vice-chancellors should be in no doubt that they have a responsibility to act to safeguard the wellbeing of all students.	2025	2025-10-20	5
gold	commons_2025_97369:003	2026-06-20 23:12:36.649848+02:00	yes	yes	yes	no	no	no	['GEN_MEN', 'OCC_WORKERS']	REASONING_BOTH	POLARITY_PRO_GROUP	STANCE_ENDORSE	Those men were not vandals or criminals.	We need answers about who was behind the incarceration of the 37 Cammell Laird workers for contempt of court.	They were trade unionists defending their jobs, their pensions, and the future of the shipyard.	I would be grateful if, when the Minister sums up, he fully committed to the search for the truth—committed that the Government will release every relevant document, fully investigate the decisions that led to the imprisonment of those workers, and agree to meet the campaigners and the legal team to discuss what support they need to exonerate all those workers. Forty-one years on, the call remains the same: justice for the Cammell Laird 37.	2025	2025-12-10	3
gold	commons_2026_00228:006	2026-06-20 23:12:36.653734+02:00	yes	yes	yes	no	no	no	['AGE_CHILD', 'EDU_IN_EDU', 'GEN_WOMEN']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	Does my hon Friend agree that it is unconscionable, in a world where women should be as valued as men, that these girls have no hope for the future?	Their fear was that these young girls would never experience the joy of learning, the joy of practising and the joy of being able to do their job.	I completely agree with my hon Friend.	This week, girls in the UK are going to school, and it is a right that we take for granted. It is a right that so many countries take for granted.	2026	2026-01-05	3
gold	commons_2026_22482:001	2026-06-20 23:12:36.672993+02:00	yes	yes	yes	no	no	no	['ETH_MINORITY', 'MIG_IMMIGRANTS', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Research from the Entrepreneurs Network shows that 54% of Britain’s 100 fastest growing companies have a foreign-born founder or co-founder.	This Government are attracting investment, spending it wisely and making sure that all communities, including Hendon, benefit from it.	International entrepreneurs play a vital role in driving innovation, investment and job creation across the UK, yet this Government are recklessly introducing unworkable visa regulations for those very people.	Since the Budget in October 2024, 110,000 jobs have been lost in the hospitality sector and 74,000 in retail, and 700,000 graduates are currently unemployed. Youth unemployment has just hit 16%.	2026	2026-03-12	3
gold	lords_1980_08010:006	2026-06-20 23:12:36.684231+02:00	yes	yes	yes	no	no	no	['OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	We have always intended that we should make transitional arrangements to protect the position of beneficiaries who would otherwise lose in overall cash terms under provisions of the new scheme.	This will mean that from November of this year some 13,000 people who had been entitled to supplementary benefit will no longer qualify for it because they have capital over £2,000.	But we cannot extend this protection to those supplementary beneficiaries who have capital over £2,000.	This is simply because it would cost about £5 million a year to ensure that these people continued to receive benefit after November. We do not consider that this protection should constitute a first call on scarce resources, since people with substantial capital are by definition among the better-off on supplementary benefit.	1980	1980-04-21	5
gold	lords_2025_05498:016	2026-06-20 23:12:36.703184+02:00	yes	yes	yes	no	no	yes	['MIG_REFUGEES', 'OTH_NON_RISS']	REASONING_CULTURAL	POLARITY_ANTI_GROUP	STANCE_REJECT	Did perhaps the Prime Minister meet Prime Minister Meloni and ask her about her initiatives to process would-be migrants offshore?	However, on illegal immigration, were any specific undertakings secured in Brussels to combat this criminal trade?	Or rather, did he perhaps give Giorgia Meloni a copy of a lecture by the noble and learned Lord the Attorney-General and warn Italy not to try to make her own laws?	Will the noble Baroness guarantee that the reset will not result in any return to EU legal frameworks, such as jurisdiction of the ECJ in UK immigration or security policies? We hear a lot in this Chamber, not least from the Leader, about the need to follow every dot and comma of the Labour manifesto.	2025	2025-02-13	6
gold	lords_2025_08686:005	2026-06-20 23:12:36.706982+02:00	yes	no	no	no	no	no	['REL_JEWISH']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	It is poignant that today is the Jewish festival of Purim, wonderfully marking the saving of the Jewish people from annihilation.	I was really struck by the absence of hope, the absence of a vision for the future and the focus on simply trying to survive the present.	It is a stark reminder that all people are equal and, I would add, created in the image of God.	We must go on naming the abhorrent attack on Israel by Hamas. We remember all those who grieve and live with trauma, and of course those who continue to be held hostage and must be released.	2025	2025-03-14	4
gold	lords_2025_16760:006	2026-06-20 23:12:36.710723+02:00	yes	yes	yes	no	no	no	['OTH_NON_RISS']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	My amendments aim to recognise that placing a child with someone other than their birth parents requires balancing a number of risks and safeguards.	I put on record my thanks to the charity Kinship for its advice and explanation of the current position of kinship carers.	Kinship carers have the obvious strength of a long-standing, usually lifelong, relationship with a child in the way that a stranger foster carer, however compassionate, does not.	However, they may not meet the full standards required by a foster panel in order to be formally approved as the permanent home for a child. Currently, there is no ability to balance these considerations.	2025	2025-06-09	5
gold	lords_2025_27000:041	2026-06-20 23:12:36.718383+02:00	yes	yes	yes	no	no	no	['ETH_MINORITY']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	I have been told that the Home Secretary’s powers are used almost exclusively against individuals from ethnic minority backgrounds who hold or are perceived to hold dual nationality.	Like others, I feel that our system, which operates on the basis that if a relevant court makes a finding in favour of an individual, that stands, unless it is stayed, until it is overturned, is the way we should continue to do things.	I can see how that could come about.	The Minister might like to comment on that because, in the current highly charged political atmosphere, we should be as clear as possible about the facts. Apart from one point that strikes me as a very good basis for a possible amendment in Committee—my noble friend does not know this yet, because I did not know he was going to make the point, but we will discuss it afterwards—I remain with the basic principles: that no one should be made stateless; that the state’s response to allegations of threats to national security should be tried in the UK unless there are very good reasons to do otherwise; and that the best interests of the child are a priority.	2025	2025-10-14	4
gold	lords_2025_29433:055	2026-06-20 23:12:36.722231+02:00	yes	yes	no	no	no	no	[]	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	We welcome decisions taken by certain Indian refineries to suspend future purchases of Russian crude.	The noble Lord, Lord Ricketts, referred to India.	We welcome the sanctions packages announced by the US and EU last week, with the US matching our sanctions on Rosneft and Lukoil and the EU sanctioning Rosneft.	My Lords, I too thank the Government for bringing forward this important debate. Yet again, we have seen some fantastic contributions on this topic.	2025	2025-10-31	2
gold	lords_2025_30409:003	2026-06-20 23:12:36.726061+02:00	yes	yes	yes	no	no	no	['AGE_SCHOOL', 'EDU_IN_EDU']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	For many young people, particularly lower-achieving pupils, there will be less choice under the Government’s proposals.	Can she tell us a little bit more about why the Government have made the proposals they have—why creative arts and not computing or technology?	I am not sure that pushing a large number of unwilling boys into drama is quite what we have in mind.	Any further enlightenment as to why the Government have made the recommendations they have made would be very welcome. Nobody is going to be pushed into drama who does not want to do it.	2025	2025-11-10	4
gold	lords_2025_33002:002	2026-06-20 23:12:36.729853+02:00	yes	yes	yes	no	no	no	['AGE_CHILD', 'OTH_NON_RISS']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Families and children across the country can be trapped in temporary accommodation because of debt accumulated by the abuser.	My Lords, victims of domestic abuse can fail to qualify to bid for a permanent home because of debt issues often not of their own making.	Should there not be a national rule whereby coerced debt should be excused to help abused families out of the debt trap and into a permanent home?	As the noble Baroness knows, I broadly agree with pretty much everything she says. That is why the Government are working on the three strands of dealing with domestic abuse: the first is prevention, the second is robust enforcement against those who perpetrate it, and the third is support for victims.	2025	2025-11-26	3
gold	lords_2026_11061:004	2026-06-20 23:12:36.752794+02:00	yes	yes	yes	no	no	no	['GEN_WOMEN', 'OTH_NON_RISS']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	I would really like noble Lords to take note of the fact that, in denying women discrete space for action, they are actually enabling abuse much more than they are preventing it.	That is why groups wishing to end violence against women and girls—domestic abuse groups, those who deal with so-called honour-based violence, those who deal with forced marriage, Rape Crisis and many others—have written to parliamentarians saying that creating clinically unnecessary barriers to abortion helps abusers, not survivors.	My Lords, Amendment 423A in my name would ask the police to cease investigations into women since the other House passed this vote back in June.	Since June, in a number of cases women and mothers have been investigated. At Christmas, a woman in her 40s thought she was in her early pregnancy.	2026	2026-03-18	3
