annotator	sent_id	updated_at	group_mentioned	group_appealed	intersectional	multiple_groups	opposed_groups	pejorative	group_tags	reasoning	polarity	stance	text	left_context	right_context	further_context	year	date	disagreement
gold	commons_1980_41745:034	2026-07-07	yes	yes	no	no	no	no	['INC_INSECURE']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	On top of all the hardship that is already being suffered by the unemployed, we must consider the Government's Budget proposals to tax unemployment benefit and other short-term national insurance and invalidity benefits.	Industrial training is to be cut back by killing off courses and rationalising skillcentres.	For the next two years, as an interim measure, the Government have decided to uprate benefits by 5 per cent.	less than their estimate of price inflation. A reduction in the real value of benefits will surely have the greatest effect on the poorest who are already below the tax threshold.	1980	1980-08-04	2
gold	commons_1980_43675:037	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Using the council's own figures, the 420 pupils for a viable 9 to 13 middle school are available at Merley, yet the children in that age group will be dispersed to three schools in other areas.	It proposes that Merley should now be a first school only, catering for children in the 5 to 9 age group.	In no way do either I or the parents criticise the other schools.	However, I wish to examine that proposal carefully with my hon Friend. I believe that the county has not appreciated the damage that the proposal will do to the community and the danger that will exist for young children.	1980	1980-10-27	1
gold	commons_1980_44472:029	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	Like all black marketeers, the nationalised industries have a front of respectability, but live on the fat of the land.	The Post Office, electricity and gas boards and other public bodies sneer at the Government, while blaming them for their inability to contribute to the efforts of the manufacturing sector of industry to reduce inflation.	Manufacturing industry in my constituency is incensed that nationalised industries prefer to go abroad to buy their machinery than to buy it in Yorkshire.	They appear to prefer a week in Italy to two days in Yorkshire doing what they should be doing. Employees in nationalised industries have been spared redundancy because they have been cushioned with huge pensions of lordly sums.	1980	1980-10-29	1
gold	commons_1980_47439:028	2026-07-07	yes	yes	no	no	no	no	['GEO_REGION']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	The people of Chipping Barnet do not want to see blanket planting when they come to rural areas.	It is imperative that the Government should introduce a scheme in the near future that will integrate forestry and farming.	They want to see open countryside as well as tree after tree.	Integration is essential. If a small estate or a large farm does some planting alongside its farm work, it can increase its productivity.	1980	1980-11-12	3
gold	commons_1980_49041:029	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	So the Government have told the Government Actuary that an average of 2,500,000 will be unemployed in 1981–82.	He is told to estimate by the Government that the number of school leavers out of work will be 200,000.	We know, however, that that is likely to be an underestimate.	Last year he was told to estimate that the number of unemployed would by now have reached 1·7 million. The figure is 2·1 million.	1980	1980-11-26	1
gold	commons_1980_49051:016	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	I accuse the Secretary of State for Employment of using youth unemployment as a cover-up for the full situation.	Much has been said about youth unemployment, but it has been used as a cover-up for the general situation.	I recently visited local courts.	I was a magistrate before I became a Member of the House. I still have a contact in the courts—the clerk to the justices—and he furnished me with figures dealing with the appearances of youngsters under 17 in the juvenile court and of youngsters aged between 17 and 21 in the magistrates' courts.	1980	1980-11-26	1
gold	commons_1980_51280:012	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	The right hon Gentleman is supposedly charged with looking after the interests of pensioners and of the needy and poor.	Only the wets in the Cabinet prevented the cuts from being greater.	I would rather see almost anyone at the Treasury than the Secretary of State for Trade, the right hon Member for St. Ives.	Given some of the comments made in the House, that would be very worrying. My hon Friend the Member for Keighley (Mr Cryer) was correct.	1980	1980-12-08	1
gold	commons_1980_53169:006	2026-07-07	yes	yes	yes	no	no	no	['AGE_YOUNG', 'INC_INSECURE']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	In the measures announced recently by my right hon Friend the Secretary of State for Employment, the number of places available through the programmes for special employment and training will be increased from 40,000 to 70,000, and 66,000 of those places will be for the young unemployed.	Meanwhile, deeply aware of the crisis, the Government are taking positive steps to lighten the burden on as many people as possible.	The Government are also investing substantial sums of money in Scotland to aid industry, either directly through the nationalised industries or, through the SDA and the HIDB, by regional grants and selective assistance.	I am somewhat disappointed that the Government have decided to remove regional status from certain areas. I refer especially to my own area of the Grampians and even more so to my own constituency, where the impact of the removal of that status will have a serious effect on employment in the immediate future unless the Government rethink the position, which I understand they intend to do.	1980	1980-12-15	1
gold	commons_1980_53531:014	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	Almost since he arrived in Britain, Mr MacGregor has said that British Steel would be enormously benefited by lower energy prices.	He is placing all his hopes on winning back a larger share of the home market and on winning a substantial export market.	He made that case to the Government.	He was accompanied by the British Independent Steel Producers Association and a number of other industries. The Government are studying that case.	1980	1980-12-16	0
gold	commons_1980_53760:001	2026-07-07	yes	yes	yes	no	no	no	['ETH_ORIGIN_GROUP']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	Is the hon Gentleman aware that this further attack on the living standards of the people of Scotland, particularly council tenants, will not be accepted lightly and is a recipe for further revolution in Scotland?	---	Given that unemployment in my constituency is reaching 18·7 per cent., and given that the Secretary of State has asked Cunninghame district council for rent increases that will total more than £3 a week, how does the hon Gentleman expect people not to fight and create civil disobedience?	---	1980	1980-12-17	8
gold	commons_1980_54053:001	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	We should not adjourn because we must discuss the future of the colleges of education in Scotland.	---	I am glad that the Leader of the House is to reply, because I want to address my remarks to him personally.	Last Thursday he promised me and the Shadow Secretary of State for Scotland that he would discuss the matter with the Secretary of State for Scotland. We were hoping that the Secretary of State for Scotland would make a statement about this important matter before the House adjourns.	1980	1980-12-17	1
gold	commons_2025_00435:002	2026-07-07	yes	yes	no	no	no	no	['INC_WORKING']	REASONING_ECONOMIC	POLARITY_PRO_GROUP	STANCE_ENDORSE	I was talking about the fact that working class people are often left behind in a two-tier system where those who can afford it pay to go private, and those who cannot are left behind.	It does.	It is the determination of this Government to bring back to life the essential Bevanite principle of an NHS that is there for everyone when they need it: healthcare available to all on the basis of need, not on ability to pay.	---	2025	2025-01-06	2
gold	commons_2025_02008:002	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	We have inherited an enormous challenge when it comes to the public finances, and we have had to make difficult decisions because of the £22 billion black hole that the hon Member and his party left behind.	We are looking carefully at all the schools in the pipeline, but we need to ensure that in every case there is a strong case for the need for the school and good value for the taxpayer.	[ Interruption. ]	The right hon Member for Sevenoaks (Laura Trott), who is chuntering away, was in Cabinet as Chief Secretary to the Treasury and responsible for overseeing all of that. Returning to support for children with special educational needs and disabilities, we will improve inclusivity in mainstream schools while ensuring that specialist provision can cater for those with the most complex needs.	2025	2025-01-08	1
gold	commons_2025_02139:033	2026-07-07	yes	yes	no	no	no	no	['GEN_WOMEN']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	If the ban on UNRWA comes in, I dread to think where those women and girls will go for support.	The UN is working with over 30 women-led organisations in Gaza to provide gender-based violence services, and last year, over 159,000 women and girls used those services in Gaza.	We have heard a lot about Afghanistan.	Under the Taliban’s apartheid of women, women and girls have been denied access to learning, employment and travel. They have been excluded from public spaces and banned from singing—I find that one the hardest to understand—although they may not want to sing.	2025	2025-01-09	4
gold	commons_2025_07184:035	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Research by YMCA in 2021 found that, in England, local authority spending on youth services totalled £379 million, a £1.1 billion cut in youth services on 2010.	It is precisely that lack of spaces and opportunities that is part of what puts children and young people at risk.	I am hugely relieved that, in Birmingham, despite the current challenges for the council, all youth centres will now remain open and be retained by the council or partner organisations.	It is a huge testimony to the importance that residents and young people place on these services in our city, and I want to thank everyone who made their voice heard in the recent consultation. Communities and families have solutions, and they need to be part of the plan for change.	2025	2025-01-21	1
gold	commons_2025_07295:007	2026-07-07	yes	yes	no	no	no	no	['MIG_REFUGEE']	REASONING_CULTURAL	POLARITY_ANTI_GROUP	STANCE_ENDORSE	In my general election campaign, I said I would fight daily to ensure that the hotel was closed to asylum seekers; and when I was leader of Broxbourne council, I fought tooth and nail to prevent another two sites within my constituency being used as asylum accommodation.	It was just one of three hotels in my constituency at the time.	The hotel in Cheshunt has since supported one of the highest numbers of asylum seekers in the east of England, while Hertfordshire as a whole was the individual council with the most hotels housing asylum seekers in 2023.	The situation we are discussing is plainly unsustainable, with millions of pounds a day being spent on these hotels across the country. My constituents have been feeling the impact on already overstretched public services.	2025	2025-01-21	1
gold	commons_2025_07304:017	2026-07-07	yes	yes	no	no	no	no	['OCC_OESCH_7']	REASONING_ECONOMIC	POLARITY_MIXED	STANCE_UNCLEAR	Statutory teachers’ pay and conditions are set by the Secretary of State, and that could be different next year from what it is this year.	David Thomas: On the first point, of course an amount of flexibility is available within the system, but we are not talking about the status quo; we are talking about the creation of powers that can be amended in the future.	We have to ask what powers we want people to have rather than just saying whether the status quo happens to be acceptable or not.	Even that status quo is limited, and I do not think we know what the right flexibilities are within the system to be able to give people optimal flexible working. That is something we are learning by innovation.	2025	2025-01-21	10
gold	commons_2025_08749:063	2026-07-07	yes	yes	no	no	no	no	['DIS_OTHER']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	Often one-off treatments, they can deliver potential benefits over the course of a patient’s lifetime and therefore represent a step change in how we treat disease.	CGTs are highly specialised types of treatment that aim to treat the root cause of diseases and disorders by augmenting, repairing, replacing, or regenerating organs, tissues, cells, genes, and metabolic processes in the body.	The families, as well as the people who have the retinal disease, are in the middle of that process and experience all the angst that comes with it as well.	Access to new innovations and treatments for rare diseases, termed “orphan medicines”, is a challenge across all healthcare systems. Smaller patient populations along with complex and difficult diagnoses can mean the cost of developing new treatments is higher, compared with treatments for more common diseases, and there can be more uncertainty in the evidence base generated from clinical trials.	2025	2025-01-23	0
gold	commons_2025_09164:018	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	—(Christian Wakeford.)	Motion made, and Question put, That the debate be now adjourned.	---	---	2025	2025-01-24	1
gold	commons_2025_10855:004	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	Would it not be better to look instead at underscoring the importance of an African solution to this?	Even the measured and balanced resolution that he put together with Sierra Leone failed to get through on 18 November.	In that respect, what discussions has he had with the African Union, notwithstanding that it is crucial that currently suspended members are involved in the process?	---	2025	2025-01-28	1
gold	commons_2025_11713:007	2026-07-07	yes	yes	no	no	no	no	['DIS_DIS']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	We worked closely with disability groups in New South Wales.	It is for people with a terminal illness who may want the choice of a death that is better than what the illness would otherwise provide.	Their main concern was that they would be treated equally in terms of access to the law if a person with a disability had a terminal illness.	The key point is that this legislation is a safeguard to those concerns. To the point about people who are starving themselves, that is happening today in the UK because people do not have access to voluntary assisted dying.	2025	2025-01-30	0
gold	commons_2025_14228:002	2026-07-07	yes	yes	yes	no	no	no	['AGE_SCHOOL', 'ETH_MAJORITY', 'GEN_MEN']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	I agree that it is not good enough that only one in five disadvantaged white British boys achieve grade 5 or above in maths and English at GCSE.	I agree with my hon Friend that it is disgraceful that the attainment gap rose under the last Government, and I will not rest until we deliver for kids from communities like ours.	We are determined to turn that around.	We are investing more in our schools and in driving up school standards.	2025	2025-02-05	6
gold	commons_2025_14721:014	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	I mentioned financial education in my maiden speech and was grateful in recent months to have the chance to raise it in the House with our Secretary of State for Education.	If we act to improve financial education, it will help us to make good on that Great British promise for all young people—for those across the Filton and Bradley Stoke constituency, and beyond.	I asked whether the independent, and welcome, curriculum and assessment review would consider foundational life skills such as financial education at all key stages, along with the resources needed to teach them with confidence as part of its work.	While none of us in the House can pre-empt the conclusions of that important review, I was glad to hear the Secretary of State’s confidence that the review would “carefully consider” what young people need in this area and any support that teachers may need for any reformed curriculum. Reported teacher confidence is understandably low, as we have already heard this afternoon, in teaching a subject that many of them were not taught either.	2025	2025-02-06	1
gold	commons_2025_15175:002	2026-07-07	yes	yes	no	no	no	no	['AGE_TEENAGERS']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	My hon Friend knows that this Government are committed to prevention education and to bringing youth hubs to every community.	After years of cuts and austerity, we have seen the decimation of youth services and youth hubs in many of our communities, so it is not surprising that knife crime and other issues have increased as a consequence.	---	---	2025	2025-02-06	11
gold	commons_2025_15705:020	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	The Father of the House, my right hon Friend the Member for Gainsborough (Sir Edward Leigh), talked about when the refugee convention was written and what it was written for.	We need it to be on the agenda for the UN General Assembly, and we need an annual Heads of Government meeting at a UN level to look at this matter.	Things are different now.	We are living in a different world, which means that we need to work together globally to deal with this issue. In the short time I have, I will make just a couple of points.	2025	2025-02-10	2
gold	commons_2025_15879:013	2026-07-07	yes	yes	no	no	no	no	['OCC_OESCH_2']	REASONING_ECONOMIC	POLARITY_ANTI_GROUP	STANCE_REJECT	However, this proposal is hugely damaging for family farmers who, year on year and generation on generation, hope to stay in a business that has been made virtually unprofitable by years of Government failure.	If the Government had proposals to truly tackle that issue, I would fully support them, and I am sure my local farmers would too.	They are being dragged into a punitive tax by spiralling land costs that are out of their control.	If these were greedy individuals looking to duck tax, they would have left this tough industry many years ago. No one would take on a relentless job that involves hard, lonely labour in all weathers—a job with skyrocketing rates of suicide—just for a tax exemption.	2025	2025-02-10	5
gold	commons_2025_15949:011	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	I want to touch on three key areas that I have discussed with the NFU, the CLA and others: first, the feeling of many farmers about the planned policy changes; secondly, the statistics that underpin the debate; and thirdly, proposals put forward by petitioners, stakeholders and experts that it is important for the Minister to hear and respond to based on the Government’s current thinking.	I thank them for that and encourage them to continue to advocate positively for rural Britain.	I will aim to cover those topics on behalf of petitioners without being sensationalist.	After all, a lot of emotion and politics has been attached to this debate so far, and understandably so. Nonetheless, that has arguably been done at times to obscure the rational arguments that many farmers, MPs and organisations have been making, some of which accept that agricultural property relief is likely to change but advocate for more graduated approaches.	2025	2025-02-10	1
gold	commons_2025_16341:011	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	Research from the National Education Association found that 73% of teachers in schools that allow phone use between classes find that phones are disruptive during classes.	A study in the US shows that a class time-only rule does not give teachers as much benefit as they might expect.	The same is true here.	The Department for Education’s national behaviour survey, published in April 2024, found that 35% of secondary school teachers reported mobile phones being used during lessons without permission. The problem is more pronounced for older children, unsurprisingly.	2025	2025-02-11	0
gold	commons_2025_18012:036	2026-07-07	yes	yes	no	no	no	no	['GEN_SOGI_LGB']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	The following decade and a half brought significant improvements to the rights of LGBT+ people in Scotland and across the UK.	I know that my constituents still hold this view.	I look forward to reflecting on one of those rights in a few weeks’ time when I celebrate my first wedding anniversary with my wife.	In closing, the struggle for LGBT rights has been fought in workplaces, in our communities, in our families and across this House for decades. We have had many successes but, sadly, some people still live in fear of their lives because they love someone of the same sex.	2025	2025-02-13	10
gold	commons_2025_19367:004	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	I understand the legal advice to my hon Friend the Member for Spen Valley on this matter, and I understand that all the amendments have been tabled in good faith, but I am concerned about the loopholes that could remain.	I will seek the Minister’s advice in due course.	We heard on Second Reading that assisted dying will not be available to disabled people, but let us imagine an individual who does not consider themselves to be disabled.	If they were diagnosed with cancer tomorrow, our current legislation states that they would be disabled from the point of diagnosis. They could live with that cancer and receive treatment for a considerable time, while continuing to have no other disability.	2025	2025-02-25	2
gold	commons_2025_19572:005	2026-07-07	yes	yes	no	yes	no	no	['FAM_PARENT']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	Instead, I am going to go through some of the things that I believe—and that parents and professionals I have met with over the last eight months believe—will make the difference and start to bring this broken system under control.	I could use double or triple my speaking time today describing the cases that come across my desk week after week of children who are not just struggling to get the right support today, but whose lives could have been different if their needs had been identified and met early.	I will limit myself to two things, and I hope the Minister will respond and take it as read that I welcome the steps she has already taken to deliver a more inclusive system.	First, there is much more to be done in partnership with the NHS. The time it takes to get a diagnosis for autism or ADHD varies wildly across the country and has vastly increased in recent years.	2025	2025-02-25	6
gold	commons_2025_23377:007	2026-07-07	yes	yes	no	no	no	no	['GEO_REGION']	REASONING_CULTURAL	POLARITY_PRO_GROUP	STANCE_ENDORSE	They are the same offenders over and over again, and Nuneaton residents like me are frustrated by the lack of action.	Such offences are often described as low-level crimes, but the impact on our community is massively underplayed.	Many tell me that they are bored with reporting and have no faith in the police’s ability to stop the behaviour.	Seeing the same repeat offenders week on week, year on year completely undermines not only the residents’ voice but the hard work of our police forces in tackling this antisocial behaviour. One resident calls it “bike-o-mania Sunday”, as every week 10 or 15 bikes regularly gather.	2025	2025-03-05	7
gold	commons_2025_24667:020	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	That is supported by Ofcom’s 2024 research, which showed that older teens are finding it harder to distinguish the real from the fake online.	If children spend all their time in this fantasy world that is completely disjointed from reality, of course it will change how they view people, relationships and the world in general.	The more mundane things in life that do not trigger a dopamine hit seem an even less appealing way to spend time to a child jacked up on likes and shares.	Children’s attention spans are getting shorter, and they have an ever-increasing need for higher levels of stimulation. Is it any wonder that our children seem less interested in reading a book or baking a cake nowadays?	2025	2025-03-07	1
gold	commons_2025_24754:028	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	I think any Government, if they do this well, will have the gratitude of the British people.	That cannot be smart, good government.	I think the British people just want someone to do this job properly.	---	2025	2025-03-10	1
gold	commons_2025_26267:017	2026-07-07	yes	no	NA	NA	NA	NA	['NA']	NA	NA	NA	In a case such as this, would the first doctor want to spell out exactly what led to that conclusion, knowing that it could place the patient in harm’s way if her husband saw it?	First, the report of the first independent doctor is required to be made available to the patient.	Also, he is not 100% sure; does he want to make such accusations in writing without hard evidence?	Secondly, even if the report was detailed and available to the second independent doctor, he would still need to make his own assessment, and he might not agree. Or it could be that although he recognises signs of coercion over a long period, he may truly believe that, to the best of his knowledge, the decision made by the patient has not been coerced in that moment.	2025	2025-03-11	1
gold	commons_2025_27105:025	2026-07-07	no	NA	NA	NA	NA	NA	['NA']	NA	NA	NA	However, it will ensure a very patient-centred approach, in which I believe passionately.	My reading of amendment (a) is that it is not the right hon Lady’s intention that this will be required in every case.	I take on board the Minister’s concerns, which I appreciate may need to be considered further down the line, but I am minded to support amendment (a) to new schedule 2.	Finally, amendment (e) to new clause 21, tabled by my hon Friend the Member for Filton and Bradley Stoke (Claire Hazelgrove), in on audio and video material. I think this comes from a really personal, sensitive and important place, and demonstrates a very patient-centred approach, so I am also minded to support it this afternoon.	2025	2025-03-12	1
